"","w.weight"
"1",1.37637299016825e-08
"2",3.49206371835331e-08
"3",2.39066740891157e-08
"4",0.0792229586555664
"5",2.46824494797926e-07
"6",3.71440366680702e-08
"7",1.1365426072908e-07
"8",4.22309199308251e-09
"9",5.05018721075535e-09
"10",2.35756047725619e-08
"11",2.8722900521596e-08
"12",0.132950253075294
"13",0.0988440180101118
"14",0.311939833625438
"15",3.46739294161723e-08
"16",0.283080285391738
"17",2.06554512760624e-08
"18",3.48452197336058e-07
"19",2.53035442642079e-08
"20",9.95333278780279e-07
"21",7.00975668869403e-09
"22",0.0939606519264941
"23",2.42777081886376e-08
"24",1.18238950192255e-08
